serial_nbr,batchID
S006B048057,B048057
S009B029496,B029496
S006B018761,B018761
S002B018423,B018423
S008B037113,B037113
S004B020091,B020091
S005B012487,B012487
S004B022024,B022024
S008B034541,B034541
S004B028116,B028116
S008B039393,B039393
S007B042183,B042183
S006B049511,B049511
S002B033514,B033514
S006B013171,B013171
S008B021505,B021505
S001B037832,B037832
S009B021772,B021772
S001B031360,B031360
S007B000950,B000950
S008B028044,B028044
S002B045934,B045934
S008B023636,B023636
S008B020021,B020021
S009B041026,B041026
S003B038522,B038522
S006B038062,B038062
S000B004185,B004185
S004B031116,B031116
S006B039278,B039278
S004B026713,B026713
S000B042532,B042532
S001B020317,B020317
S008B020725,B020725
S009B016453,B016453
S002B024573,B024573
S003B006967,B006967
S007B014701,B014701
S001B023227,B023227
S005B011227,B011227
S004B033683,B033683
S009B023382,B023382
S003B023433,B023433
S006B019329,B019329
S001B028862,B028862
S008B028287,B028287
S008B031895,B031895
S007B021336,B021336
S006B037334,B037334
S006B008788,B008788
S002B038830,B038830
S004B044249,B044249
S007B035011,B035011
S005B027181,B027181
S001B047791,B047791
S000B044976,B044976
S005B004635,B004635
S009B000911,B000911
S007B019686,B019686
S009B010425,B010425
S003B047839,B047839
S007B003491,B003491
S005B000631,B000631
S006B027796,B027796
S001B043652,B043652
S007B023571,B023571
S008B044028,B044028
S004B005534,B005534
S001B004065,B004065
S003B042324,B042324
S000B004422,B004422
S000B025163,B025163
S008B043392,B043392
S001B044538,B044538
S004B001254,B001254
S008B050357,B050357
S005B005025,B005025
S006B032529,B032529
S002B038594,B038594
S003B042851,B042851
S008B003711,B003711
S007B044263,B044263
S002B021835,B021835
S003B046859,B046859
S006B031946,B031946
S004B028516,B028516
S001B002746,B002746
S005B004585,B004585
S000B030232,B030232
S003B006412,B006412
S009B034692,B034692
S002B006328,B006328
S009B010194,B010194
S000B020647,B020647
S009B006562,B006562
S005B024061,B024061
S006B039989,B039989
S008B003459,B003459
S009B024374,B024374
S008B045648,B045648
S003B035130,B035130
S002B038188,B038188
S004B018372,B018372
S002B031433,B031433
S001B039988,B039988
S005B038275,B038275
S000B008767,B008767
S009B002130,B002130
S007B000317,B000317
S009B017665,B017665
S001B012966,B012966
S008B029925,B029925
S006B020791,B020791
S007B041892,B041892
S006B006107,B006107
S006B021963,B021963
S000B048753,B048753
S004B033179,B033179
S004B048010,B048010
S006B040164,B040164
S003B033086,B033086
S005B024509,B024509
S003B043739,B043739
S002B038379,B038379
S008B043542,B043542
S000B014289,B014289
S000B020021,B020021
S001B010420,B010420
S004B007734,B007734
S002B011235,B011235
S003B019874,B019874
S003B036558,B036558
S004B038931,B038931
S007B036842,B036842
S007B048201,B048201
S005B046023,B046023
S008B003910,B003910
S007B012410,B012410
S001B027476,B027476
S009B002663,B002663
S009B038971,B038971
S006B037674,B037674
S008B029432,B029432
S008B007160,B007160
S003B039278,B039278
S000B017629,B017629
S006B024123,B024123
S004B003664,B003664
S003B013554,B013554
S003B023386,B023386
S002B044310,B044310
S006B020214,B020214
S003B030232,B030232
S008B022618,B022618
S006B010382,B010382
S008B026982,B026982
S003B004345,B004345
S007B007849,B007849
S000B033412,B033412
S007B047879,B047879
S000B011917,B011917
S004B002407,B002407
S003B036739,B036739
S002B035075,B035075
S001B042354,B042354
S000B027637,B027637
S006B013599,B013599
S007B018794,B018794
S005B031977,B031977
S004B008900,B008900
S003B017382,B017382
S004B017368,B017368
S009B008866,B008866
S005B014822,B014822
S003B036310,B036310
S000B017533,B017533
S006B044837,B044837
S000B018899,B018899
S006B025463,B025463
S002B035016,B035016
S006B017968,B017968
S009B018470,B018470
S007B012840,B012840
S005B013752,B013752
S005B047435,B047435
S005B016341,B016341
S003B034712,B034712
S009B017571,B017571
S000B007647,B007647
S006B032031,B032031
S003B031479,B031479
S004B032927,B032927
S000B006099,B006099
S009B047821,B047821
S005B017481,B017481
S009B013341,B013341
S007B019875,B019875
S004B031844,B031844
S008B033346,B033346
S001B006851,B006851
S007B025407,B025407
S006B016664,B016664
S005B005746,B005746
S007B028415,B028415
S005B027090,B027090
S007B042452,B042452
S001B044322,B044322
S001B002220,B002220
S002B001542,B001542
S001B032874,B032874
S007B020204,B020204
S009B041041,B041041
S006B018423,B018423
S003B013258,B013258
S001B046095,B046095
S003B048057,B048057
S007B022394,B022394
S009B008383,B008383
S000B044350,B044350
S007B013402,B013402
S009B008067,B008067
S002B018630,B018630
S007B045552,B045552
S008B007668,B007668
S009B036558,B036558
S000B048398,B048398
S002B017665,B017665
S002B027135,B027135
S007B029526,B029526
S001B009738,B009738
S009B032695,B032695
S003B025407,B025407
S002B013625,B013625
S008B022647,B022647
S006B038920,B038920
S007B021826,B021826
S000B029539,B029539
S007B007668,B007668
S008B023307,B023307
S007B045787,B045787
S006B016256,B016256
S003B048365,B048365
S008B049182,B049182
S009B037003,B037003
S006B012865,B012865
S008B033229,B033229
S009B003254,B003254
S002B045372,B045372
S005B030887,B030887
S007B032447,B032447
S003B014627,B014627
S000B001951,B001951
S004B014773,B014773
S007B050289,B050289
S003B006328,B006328
S000B048567,B048567
S006B018444,B018444
S008B023475,B023475
S006B034438,B034438
S001B005724,B005724
S001B041000,B041000
S004B020067,B020067
S000B018645,B018645
S001B014067,B014067
S003B005307,B005307
S004B012389,B012389
S007B015620,B015620
S005B045386,B045386
S007B038983,B038983
S007B027401,B027401
S000B049521,B049521
S008B036842,B036842
S002B038513,B038513
S005B004360,B004360
S009B005275,B005275
S007B049191,B049191
S008B015949,B015949
S000B017720,B017720
S006B030988,B030988
S004B032310,B032310
S007B036837,B036837
S003B011472,B011472
S007B031555,B031555
S002B022867,B022867
S006B034692,B034692
S004B043402,B043402
S000B026677,B026677
S004B049323,B049323
S003B007287,B007287
S000B009663,B009663
S008B010750,B010750
S009B027160,B027160
S001B015381,B015381
S004B043513,B043513
S001B050357,B050357
S005B004913,B004913
S001B015629,B015629
S000B034286,B034286
S005B022376,B022376
S000B023777,B023777
S008B004754,B004754
S002B034713,B034713
S005B006179,B006179
S009B018794,B018794
S003B004406,B004406
S009B040897,B040897
S002B011626,B011626
S000B027616,B027616
S009B041094,B041094
S006B048926,B048926
S006B005415,B005415
S007B016717,B016717
S009B004360,B004360
S001B020714,B020714
S001B006562,B006562
S007B007049,B007049
S008B032204,B032204
S004B026860,B026860
S005B031036,B031036
S008B004116,B004116
S009B033367,B033367
S009B028142,B028142
S005B014320,B014320
S007B039959,B039959
S007B000183,B000183
S004B003346,B003346
S006B048535,B048535
S007B040846,B040846
S000B020725,B020725
S007B033570,B033570
S003B014720,B014720
S009B033683,B033683
S001B023307,B023307
S000B015986,B015986
S007B035282,B035282
S004B018715,B018715
S004B044263,B044263
S002B004122,B004122
S007B007437,B007437
S009B046834,B046834
S008B036444,B036444
S003B014087,B014087
S009B009559,B009559
S009B029280,B029280
S005B037624,B037624
S002B001319,B001319
S009B046695,B046695
S004B044861,B044861
S000B042319,B042319
S000B028103,B028103
S004B014627,B014627
S001B013260,B013260
S009B036472,B036472
S004B015958,B015958
S000B031467,B031467
S007B013599,B013599
S002B048615,B048615
S005B038789,B038789
S005B034713,B034713
S000B045864,B045864
S009B045787,B045787
S002B016103,B016103
S001B034095,B034095
S000B047923,B047923
S009B016092,B016092
S004B035367,B035367
S004B043719,B043719
S007B040188,B040188
S002B043881,B043881
S006B005214,B005214
S008B011684,B011684
S000B042937,B042937
S002B007686,B007686
S000B022024,B022024
S002B023074,B023074
S001B047323,B047323
S006B013371,B013371
S001B045617,B045617
S007B012594,B012594
S006B047247,B047247
S005B021565,B021565
S002B030711,B030711
S007B037657,B037657
S003B046555,B046555
S000B016780,B016780
S000B014572,B014572
S000B003664,B003664
S006B042996,B042996
S008B024123,B024123
S009B001001,B001001
S007B009647,B009647
S001B001891,B001891
S002B008363,B008363
S002B047839,B047839
S001B006610,B006610
S004B011972,B011972
S002B009063,B009063
S008B037028,B037028
S001B046646,B046646
S009B005517,B005517
S008B027788,B027788
S005B012841,B012841
S000B023291,B023291
S002B047494,B047494
S001B031483,B031483
S004B004048,B004048
S005B009373,B009373
S001B046259,B046259
S000B017745,B017745
S007B048528,B048528
S002B035349,B035349
S003B026199,B026199
S007B000075,B000075
S002B002653,B002653
S002B046050,B046050
S004B040951,B040951
S000B038469,B038469
S005B028202,B028202
S002B038987,B038987
S001B016418,B016418
S008B028403,B028403
S004B045918,B045918
S008B032969,B032969
S008B011468,B011468
S004B041021,B041021
S005B000627,B000627
S000B020676,B020676
S005B017821,B017821
S008B021003,B021003
S003B000317,B000317
S004B015508,B015508
S001B026425,B026425
S005B017575,B017575
S006B032310,B032310
S002B008825,B008825
S009B031919,B031919
S000B018523,B018523
S003B013567,B013567
S001B029261,B029261
S000B028116,B028116
S009B044417,B044417
S007B034613,B034613
S006B014720,B014720
S000B025027,B025027
S001B040950,B040950
S009B020349,B020349
S001B002149,B002149
S009B022129,B022129
S006B006414,B006414
S000B020285,B020285
S009B002501,B002501
S002B007526,B007526
S002B027058,B027058
S007B028466,B028466
S002B019875,B019875
S005B008788,B008788
S002B013752,B013752
S003B025119,B025119
S009B022201,B022201
S002B033806,B033806
S000B036579,B036579
S003B043696,B043696
S005B029477,B029477
S004B021336,B021336
S004B047788,B047788
S001B036384,B036384
S002B012594,B012594
S001B038580,B038580
S004B028103,B028103
S003B048252,B048252
S004B016682,B016682
S007B014453,B014453
S008B035327,B035327
S003B011411,B011411
S006B004360,B004360
S007B024074,B024074
S009B047573,B047573
S009B020558,B020558
S004B014067,B014067
S005B032198,B032198
S008B022205,B022205
S009B000461,B000461
S001B016158,B016158
S006B044065,B044065
S002B039921,B039921
S002B018135,B018135
S003B012746,B012746
S005B020204,B020204
S004B047926,B047926
S003B001366,B001366
S007B007188,B007188
S005B000775,B000775
S003B011143,B011143
S005B024664,B024664
S005B016337,B016337
S002B003032,B003032
S008B006397,B006397
S000B037277,B037277
S007B037213,B037213
S006B042568,B042568
S001B034636,B034636
S003B015437,B015437
S006B013554,B013554
S001B017442,B017442
S000B009886,B009886
S003B037802,B037802
S001B006529,B006529
S000B016647,B016647
S007B020734,B020734
S004B032829,B032829
S008B013697,B013697
S003B016619,B016619
S001B038594,B038594
S002B006646,B006646
S008B047586,B047586
S000B001711,B001711
S000B024783,B024783
S004B002932,B002932
S009B028620,B028620
S008B046060,B046060
S000B029925,B029925
S003B019594,B019594
S006B041760,B041760
S000B018133,B018133
S007B038920,B038920
S006B023514,B023514
S001B021119,B021119
S002B031491,B031491
S007B016337,B016337
S006B034791,B034791
S002B036235,B036235
S009B033425,B033425
S008B048985,B048985
S006B001649,B001649
S002B013277,B013277
S004B003554,B003554
S004B012841,B012841
S005B049157,B049157
S006B012840,B012840
S005B013341,B013341
S008B014594,B014594
S005B017537,B017537
S003B023643,B023643
S001B014273,B014273
S006B042937,B042937
S004B003340,B003340
S003B006202,B006202
S004B039923,B039923
S002B029371,B029371
S003B011438,B011438
S005B011280,B011280
S005B018944,B018944
S007B020910,B020910
S005B029071,B029071
S001B044149,B044149
S006B020838,B020838
S009B012931,B012931
S009B017716,B017716
S001B045898,B045898
S003B003159,B003159
S008B009254,B009254
S003B027219,B027219
S006B041135,B041135
S002B001332,B001332
S002B001133,B001133
S009B048667,B048667
S003B012183,B012183
S001B030317,B030317
S006B010248,B010248
S008B033683,B033683
S001B006646,B006646
S009B007751,B007751
S001B016588,B016588
S004B024548,B024548
S009B034191,B034191
S003B015664,B015664
S003B018405,B018405
S003B004111,B004111
S003B016802,B016802
S002B029280,B029280
S007B018952,B018952
S005B033808,B033808
S009B035904,B035904
S003B024388,B024388
S006B019093,B019093
S004B039231,B039231
S007B003306,B003306
S009B035282,B035282
S002B031558,B031558
S004B006782,B006782
S003B013730,B013730
S002B036047,B036047
S009B002697,B002697
S006B014773,B014773
S002B021180,B021180
S006B005746,B005746
S008B016824,B016824
S003B037761,B037761
S000B003666,B003666
S009B021826,B021826
S000B026345,B026345
S001B017304,B017304
S003B007361,B007361
S000B003676,B003676
S007B007744,B007744
S004B013903,B013903
S000B007849,B007849
S003B024407,B024407
S006B021292,B021292
S003B003747,B003747
S004B003501,B003501
S003B032570,B032570
S009B038959,B038959
S009B026345,B026345
S003B010846,B010846
S005B010811,B010811
S009B029600,B029600
S005B043405,B043405
S005B044249,B044249
S008B031205,B031205
S001B044111,B044111
S002B041058,B041058
S002B036310,B036310
S007B027181,B027181
S004B030076,B030076
S008B048926,B048926
S006B023721,B023721
S002B008940,B008940
S005B020467,B020467
S001B041464,B041464
S008B042010,B042010
S003B049062,B049062
S007B011145,B011145
S000B030858,B030858
S002B025703,B025703
S007B031425,B031425
S002B020696,B020696
S002B033334,B033334
S003B033374,B033374
S009B035030,B035030
S008B005325,B005325
S001B029146,B029146
S005B028958,B028958
S003B046880,B046880
S001B032527,B032527
S001B020470,B020470
S008B008057,B008057
S009B017104,B017104
S009B020980,B020980
S005B031491,B031491
S005B027406,B027406
S001B011493,B011493
S000B020309,B020309
S001B048176,B048176
S001B044753,B044753
S008B035923,B035923
S006B035858,B035858
S006B000183,B000183
S005B024633,B024633
S006B033664,B033664
S004B048288,B048288
S008B007306,B007306
S000B032096,B032096
S005B003981,B003981
S003B024180,B024180
S006B013331,B013331
S000B033221,B033221
S001B033221,B033221
S003B010633,B010633
S004B007403,B007403
S007B008866,B008866
S008B015241,B015241
S007B015381,B015381
S008B014912,B014912
S005B016664,B016664
S005B033425,B033425
S007B002829,B002829
S008B015629,B015629
S002B016969,B016969
S008B016125,B016125
S002B012449,B012449
S000B045951,B045951
S003B027405,B027405
S005B018512,B018512
S005B020021,B020021
S006B030367,B030367
S000B032867,B032867
S005B013396,B013396
S002B010281,B010281
S001B014911,B014911
S009B044350,B044350
S000B034289,B034289
S005B012482,B012482
S003B032380,B032380
S002B013741,B013741
S006B017043,B017043
S006B019537,B019537
S000B039772,B039772
S008B000627,B000627
S001B035016,B035016
S006B010484,B010484
S007B023069,B023069
S008B031706,B031706
S002B005025,B005025
S008B045791,B045791
S009B003491,B003491
S009B034369,B034369
S001B017533,B017533
S006B015495,B015495
S002B008963,B008963
S002B037541,B037541
S001B035130,B035130
S006B017123,B017123
S001B033869,B033869
S007B036997,B036997
S006B028234,B028234
S002B040150,B040150
S007B031483,B031483
S007B004048,B004048
S006B043392,B043392
S001B017716,B017716
S000B002829,B002829
S003B037334,B037334
S008B012523,B012523
S002B028922,B028922
S001B018114,B018114
S008B003346,B003346
S007B029001,B029001
S009B013319,B013319
S009B016647,B016647
S006B008825,B008825
S002B015898,B015898
S002B026739,B026739
S003B041649,B041649
S000B024633,B024633
S006B048251,B048251
S007B010394,B010394
S000B007668,B007668
S007B008744,B008744
S009B019667,B019667
S006B021285,B021285
S005B030367,B030367
S008B045429,B045429
S008B012410,B012410
S006B015240,B015240
S003B017368,B017368
S007B044310,B044310
S006B044976,B044976
S004B009193,B009193
S005B042851,B042851
S009B029548,B029548
S001B003689,B003689
S006B029432,B029432
S007B034489,B034489
S002B038446,B038446
S005B037199,B037199
S009B035153,B035153
S007B012821,B012821
S005B018887,B018887
S005B048201,B048201
S006B034705,B034705
S001B049959,B049959
S005B033452,B033452
S001B020080,B020080
S001B050216,B050216
S005B036952,B036952
S002B047081,B047081
S003B044748,B044748
S001B041797,B041797
S004B036160,B036160
S009B017514,B017514
S006B005973,B005973
S003B047946,B047946
S009B040740,B040740
S009B014200,B014200
S004B024831,B024831
S005B041576,B041576
S003B049423,B049423
S002B044305,B044305
S006B023433,B023433
S009B002213,B002213
S003B032644,B032644
S004B042354,B042354
S000B034791,B034791
S009B035661,B035661
S009B000493,B000493
S004B032875,B032875
S007B027331,B027331
S004B030858,B030858
S004B022394,B022394
S000B037003,B037003
S004B025917,B025917
S009B046060,B046060
S004B024127,B024127
S007B039907,B039907
S006B014572,B014572
S003B030655,B030655
S006B048753,B048753
S006B044748,B044748
S009B033514,B033514
S007B027484,B027484
S000B043531,B043531
S002B005973,B005973
S003B037240,B037240
S007B005973,B005973
S000B019314,B019314
S007B020309,B020309
S003B011682,B011682
S009B041797,B041797
S001B011735,B011735
S005B016780,B016780
S002B019999,B019999
S004B007409,B007409
S004B042839,B042839
S005B011438,B011438
S009B046428,B046428
S008B020521,B020521
S000B041237,B041237
S003B017272,B017272
S005B015489,B015489
S003B046510,B046510
S006B000509,B000509
S008B033357,B033357
S004B019942,B019942
S002B029071,B029071
S002B033026,B033026
S004B048682,B048682
S005B038402,B038402
S003B010002,B010002
S000B049413,B049413
S007B014888,B014888
S004B007700,B007700
S006B040929,B040929
S009B007537,B007537
S008B010811,B010811
S001B033305,B033305
S002B034359,B034359
S000B019694,B019694
S008B048176,B048176
S002B020015,B020015
S003B008508,B008508
S007B026084,B026084
S005B046602,B046602
S005B043614,B043614
S007B047635,B047635
S002B000358,B000358
S004B044026,B044026
S008B021740,B021740
S006B022066,B022066
S003B034613,B034613
S008B008825,B008825
S003B046804,B046804
S005B047429,B047429
S000B011992,B011992
S006B013567,B013567
S002B026359,B026359
S006B034218,B034218
S009B038066,B038066
S002B020294,B020294
S002B043923,B043923
S000B035434,B035434
S002B021002,B021002
S000B042833,B042833
S000B015929,B015929
S006B048528,B048528
S005B033436,B033436
S003B014594,B014594
S005B025785,B025785
S009B017731,B017731
S006B014267,B014267
S005B035971,B035971
S001B015095,B015095
S001B021565,B021565
S005B012805,B012805
S001B001003,B001003
S001B022205,B022205
S008B033903,B033903
S005B012766,B012766
S008B044791,B044791
S007B012870,B012870
S006B037949,B037949
S000B019679,B019679
S004B043360,B043360
S004B042012,B042012
S001B047762,B047762
S000B006235,B006235
S002B012805,B012805
S008B047177,B047177
S006B030980,B030980
S008B031028,B031028
S003B034392,B034392
S006B035661,B035661
S006B016353,B016353
S006B006031,B006031
S004B040846,B040846
S005B036684,B036684
S009B006023,B006023
S002B049559,B049559
S003B023607,B023607
S005B043361,B043361
S009B030545,B030545
S004B023587,B023587
S008B034346,B034346
S002B015309,B015309
S004B015496,B015496
S007B033514,B033514
S005B031622,B031622
S000B020755,B020755
S002B010914,B010914
S000B005275,B005275
S001B003159,B003159
S001B011677,B011677
S008B019184,B019184
S002B007842,B007842
S004B041539,B041539
S002B022847,B022847
S003B046023,B046023
S004B007831,B007831
S008B002620,B002620
S001B040846,B040846
S000B020269,B020269
S009B035971,B035971
S000B004156,B004156
S006B024664,B024664
S004B031034,B031034
S003B049579,B049579
S003B010446,B010446
S003B005597,B005597
S009B017254,B017254
S005B040951,B040951
S009B046025,B046025
S009B023308,B023308
S002B023307,B023307
S004B023796,B023796
S008B006047,B006047
S005B002098,B002098
S003B031765,B031765
S008B032447,B032447
S000B000075,B000075
S002B013827,B013827
S002B028038,B028038
S003B031555,B031555
S002B037937,B037937
S007B002404,B002404
S003B048567,B048567
S009B045501,B045501
S007B044111,B044111
S001B045428,B045428
S007B007498,B007498
S009B038057,B038057
S005B046798,B046798
S004B017399,B017399
S001B034218,B034218
S007B005191,B005191
S008B008316,B008316
S000B049771,B049771
S001B043316,B043316
S000B001569,B001569
S006B017399,B017399
S002B009691,B009691
S007B005169,B005169
S002B005597,B005597
S003B009054,B009054
S008B041855,B041855
S003B023710,B023710
S006B016226,B016226
S008B003818,B003818
S005B043882,B043882
S002B004513,B004513
S006B000365,B000365
S008B020836,B020836
S005B017535,B017535
S008B035530,B035530
S008B015815,B015815
S001B039155,B039155
S005B015034,B015034
S004B021003,B021003
S002B023587,B023587
S006B024831,B024831
S007B003461,B003461
S006B005517,B005517
S006B020936,B020936
S005B035820,B035820
S007B005906,B005906
S007B024548,B024548
S006B014961,B014961
S002B023386,B023386
S001B029455,B029455
S009B005534,B005534
S009B044748,B044748
S000B008716,B008716
S004B023118,B023118
S008B014911,B014911
S004B035434,B035434
S004B028735,B028735
S002B037201,B037201
S001B013855,B013855
S005B005191,B005191
S002B035327,B035327
S008B031946,B031946
S007B037199,B037199
S002B039294,B039294
S000B004146,B004146
S003B030164,B030164
S007B004212,B004212
S000B043093,B043093
S004B042568,B042568
S007B037790,B037790
S000B037838,B037838
S006B003928,B003928
S002B045033,B045033
S005B046474,B046474
S004B020462,B020462
S001B012410,B012410
S006B003222,B003222
S006B027406,B027406
S001B037113,B037113
S007B020549,B020549
S006B004654,B004654
S008B026595,B026595
S009B016242,B016242
S003B025845,B025845
S005B020693,B020693
S007B005987,B005987
S004B018133,B018133
S006B010609,B010609
S007B002501,B002501
S002B004436,B004436
S000B038107,B038107
S005B002746,B002746
S003B029455,B029455
S008B020147,B020147
S004B031542,B031542
S001B041249,B041249
S007B027788,B027788
S000B012196,B012196
S006B017481,B017481
S004B000339,B000339
S007B049243,B049243
S002B038235,B038235
S008B013554,B013554
S002B016189,B016189
S009B003264,B003264
S006B022205,B022205
S007B002663,B002663
S008B025783,B025783
S006B025052,B025052
S006B024462,B024462
S007B044861,B044861
S003B039772,B039772
S004B039433,B039433
S005B009167,B009167
S003B010670,B010670
S008B021336,B021336
S007B001566,B001566
S002B013901,B013901
S007B044734,B044734
S004B044622,B044622
S006B039982,B039982
S009B045136,B045136
S001B001203,B001203
S003B039355,B039355
S009B026199,B026199
S007B027972,B027972
S004B023052,B023052
S006B046048,B046048
S008B003145,B003145
S001B034405,B034405
S009B019610,B019610
S000B019874,B019874
S007B008363,B008363
S008B049559,B049559
S001B040395,B040395
S003B036842,B036842
S005B023889,B023889
S007B000493,B000493
S000B015960,B015960
S008B002098,B002098
S005B012854,B012854
S007B028044,B028044
S006B017304,B017304
S001B025321,B025321
S002B045918,B045918
S006B016619,B016619
S001B015352,B015352
S003B001041,B001041
S003B006754,B006754
S001B006816,B006816
S001B015929,B015929
S009B005172,B005172
S001B042278,B042278
S008B027976,B027976
S007B011682,B011682
S009B010009,B010009
S008B024127,B024127
S005B010790,B010790
S003B001005,B001005
S005B007537,B007537
S009B010914,B010914
S009B014093,B014093
S007B001951,B001951
S002B013257,B013257
S009B032156,B032156
S006B036506,B036506
S005B014067,B014067
S000B034636,B034636
S001B024122,B024122
S008B010481,B010481
S004B037160,B037160
S001B047515,B047515
S009B015455,B015455
S005B019842,B019842
S003B029526,B029526
S005B002932,B002932
S004B029080,B029080
S003B030069,B030069
S007B005307,B005307
S005B007063,B007063
S007B038299,B038299
S000B030965,B030965
S008B008716,B008716
S005B008940,B008940
S004B046115,B046115
S006B023777,B023777
S002B011438,B011438
S006B022045,B022045
S009B024328,B024328
S001B018423,B018423
S007B035568,B035568
S003B032829,B032829
S003B010420,B010420
S000B007160,B007160
S000B016362,B016362
S004B001743,B001743
S001B017654,B017654
S006B034541,B034541
S002B014967,B014967
S001B015815,B015815
S005B016813,B016813
S001B013572,B013572
S003B013374,B013374
S003B042370,B042370
S006B006188,B006188
S002B034597,B034597
S005B017043,B017043
S000B040630,B040630
S005B029526,B029526
S002B049523,B049523
S000B036917,B036917
S002B009680,B009680
S005B020755,B020755
S006B027181,B027181
S001B014026,B014026
S009B029455,B029455
S005B038580,B038580
S001B020044,B020044
S006B010859,B010859
S007B039155,B039155
S003B031034,B031034
S002B025052,B025052
S004B042582,B042582
S008B012362,B012362
S007B005003,B005003
S003B046322,B046322
S008B044026,B044026
S004B047573,B047573
S001B025119,B025119
S007B012487,B012487
S003B040043,B040043
S009B035820,B035820
S009B011268,B011268
S004B046574,B046574
S004B024892,B024892
S001B016969,B016969
S009B007744,B007744
S008B025595,B025595
S006B007558,B007558
S009B031648,B031648
S001B032516,B032516
S006B025330,B025330
S001B015541,B015541
S002B018283,B018283
S002B003209,B003209
S008B040525,B040525
S003B032248,B032248
S005B020521,B020521
S008B038931,B038931
S002B030927,B030927
S003B011454,B011454
S003B003264,B003264
S007B048315,B048315
S000B008624,B008624
S004B024568,B024568
S008B032875,B032875
S000B049834,B049834
S004B006412,B006412
S004B012131,B012131
S006B047387,B047387
S000B015105,B015105
S002B042528,B042528
S008B044065,B044065
S008B013870,B013870
S007B032516,B032516
S007B002037,B002037
S008B015620,B015620
S002B005145,B005145
S004B043316,B043316
S000B014967,B014967
S005B031716,B031716
S003B011803,B011803
S001B045951,B045951
S002B016784,B016784
S009B020067,B020067
S007B034576,B034576
S000B001931,B001931
S000B023307,B023307
S008B023777,B023777
S006B039803,B039803
S005B016266,B016266
S003B006785,B006785
S007B048661,B048661
S001B007825,B007825
S002B030232,B030232
S003B036384,B036384
S004B030048,B030048
S007B012059,B012059
S008B034095,B034095
S005B040043,B040043
S008B030651,B030651
S006B029146,B029146
S008B006072,B006072
S005B021487,B021487
S004B005917,B005917
S007B009454,B009454
S004B048176,B048176
S006B010601,B010601
S001B047470,B047470
S008B027796,B027796
S000B043564,B043564
S003B006486,B006486
S009B012076,B012076
S007B002109,B002109
S001B046521,B046521
S004B036579,B036579
S009B049326,B049326
S002B028415,B028415
S003B014623,B014623
S004B021702,B021702
S003B016103,B016103
S004B006557,B006557
S007B029358,B029358
S007B034711,B034711
S000B037088,B037088
S009B036384,B036384
S001B036443,B036443
S001B014464,B014464
S002B006920,B006920
S000B004922,B004922
S006B030955,B030955
S007B013319,B013319
S006B031032,B031032
S003B049521,B049521
S009B013944,B013944
S007B036509,B036509
S002B035311,B035311
S004B027069,B027069
S003B021400,B021400
S002B005534,B005534
S000B000114,B000114
S004B021602,B021602
S000B015856,B015856
S001B036997,B036997
S001B045873,B045873
S003B020946,B020946
S004B045810,B045810
S008B005059,B005059
S005B034708,B034708
S006B015496,B015496
S001B032695,B032695
S009B013322,B013322
S008B042324,B042324
S008B021117,B021117
S007B012382,B012382
S002B031205,B031205
S009B004635,B004635
S003B020317,B020317
S002B044837,B044837
S005B014888,B014888
S005B015541,B015541
S007B017662,B017662
S004B046510,B046510
S005B024161,B024161
