ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
39,-0.855,-0.109,0.843,0.974,-0.698,0.56,1.959,-0.244,0.931,0.22,0.027,1.348,-0.486,-0.146,-2.492,-1.454,0.624,1.887,1.236,-1.732,0.203,-1.713,-0.773,0.863,2.029,0.054,1.216,-1.576,-0.495,-1.356,1.117,1.16,0.086,0.115,-0.683,0.233,-2.005,0.14,0.521,2.361,-0.01,-0.616,-0.17,-0.338,0.283,0.427,-0.52,0.142,0.299,-0.274
40,-0.625,0.472,0.534,0.256,0.089,-0.465,2.275,-0.572,0.021,-0.797,0.183,1.246,0.096,-0.522,-2.332,-3.065,-1.872,0.28,-1.051,-3.361,-0.071,-0.281,-0.998,0.202,-0.413,0.107,-0.035,-0.361,-0.533,1.099,0.002,-0.175,0.401,0.726,2.057,0.124,0.287,0.548,-0.882,0.553,-0.965,0.784,-0.383,0.388,-0.503,-0.698,0.021,5.992,1.189,-1.614
41,0.243,-0.121,-1.186,-0.134,-0.493,-1.134,3.499,-1.541,0.677,-0.267,-0.038,-0.576,-0.112,-0.935,-1.99,-2.792,1.173,-0.526,0.938,-1.054,0.123,0.988,0.786,-1.352,0.275,0.865,-0.054,0.151,1.021,1.409,0.954,1.925,0.298,1.768,0.85,-0.971,-0.944,0.97,-1.236,-1.216,-0.553,0.519,-0.979,-1.175,-0.85,0.385,-0.455,2.242,0.186,0.047
42,0.529,-2.53,0.18,1.216,0.341,-0.694,3.525,-0.01,0.475,-0.109,1.379,0.82,-0.497,-0.176,1.871,3.696,-0.188,-0.761,0.389,2.299,-1.114,0.981,-1.624,0.163,-1.571,0.17,1.002,-0.931,0.71,-0.376,0.032,1.773,0.738,0.35,-0.277,-0.228,1.21,0.735,-0.649,0.464,-1.073,1.146,1.655,1.44,-1.814,-1.679,0.016,-2.228,-1.357,0.918
43,-2.358,-0.806,1.66,0.833,-0.935,-0.902,1.649,-0.836,1.671,0.123,0.397,-0.555,-0.734,0.261,-1.953,-2.407,0.123,0.813,0.834,-3.226,1.026,0.502,-0.666,0.589,-0.325,0.08,0.878,-0.858,0.146,0.166,1.538,0.108,0.544,-0.669,-0.958,-1.084,-0.591,-1.2,-0.638,-1.693,0.983,0.197,0.709,-0.169,-1.059,1.612,1.371,0.93,-1.192,0.195
44,-2.58,-0.913,-0.196,-0.823,-0.348,0.993,3.743,0.414,0.479,-0.393,0.993,-0.157,0.889,-0.626,-2.93,-2.486,-0.201,-0.122,0.127,-1.292,2.503,-1.872,0.16,0.945,-1.078,-0.398,-2.941,0.966,0.011,-0.707,0.121,-0.044,0.378,2.574,0.264,2.216,-0.271,-0.15,1.044,0.395,1.27,0.083,-0.104,-0.327,1.165,0.238,1.317,0.612,0.322,-0.546
45,-1.642,0.012,0.046,0.868,1.257,0.157,2.337,-0.323,-0.571,-0.669,0.46,0.804,-1.617,-1.799,0.795,0.228,-0.602,-0.883,-0.002,-0.346,1.267,-0.163,-0.336,0.305,0.852,0.835,0.144,-2.079,1.347,-0.104,0.239,0.409,0.559,-0.29,0.222,-0.164,-0.511,-1.296,-0.444,-0.425,-0.779,0.185,-1.139,-0.566,-0.699,-1.948,0.055,-1.277,0.947,-0.976
46,0.61,0.692,0.452,-0.503,1.544,-0.537,1.849,-0.814,0.493,0.379,0.432,0.292,0.687,0.686,-0.688,0.903,0.201,-2.159,1.588,2.647,-3.243,-0.964,0.069,-0.836,-1.328,-1.153,0.246,-0.876,-0.444,1.087,0.627,1.632,1.21,-0.759,-0.992,0.737,-0.924,-0.809,-0.859,0.884,1.351,1.848,0.483,0.588,0.208,1.74,-0.104,-2.797,1.343,-0.157
47,0.985,0.935,1.3,-1.804,0.455,-0.886,1.723,1.495,-2.656,-0.98,0.751,-1.17,-0.498,0.226,0.032,-4.299,0.101,0.756,-0.197,-2.878,-0.399,0.279,0.362,0.143,-1.113,0.54,-0.106,-0.019,0.786,-0.74,0.651,0.567,0.642,0.841,-0.745,1.572,0.799,-0.65,1.957,0.96,-1.623,0.864,0.644,-0.703,0.949,-2.357,1.008,2.284,0.869,-0.272
48,0.561,-0.896,0.239,-0.109,-0.347,-0.774,1.676,0.082,-0.939,-0.202,-0.413,-0.334,-0.508,-0.501,-0.413,-3.232,-1.152,-1.976,-0.49,-1.584,-0.273,-1.213,-0.468,-0.662,-0.757,-1.177,0.61,-0.443,-0.117,-0.313,0.315,0.492,-2.253,0.628,1.916,-1.437,-0.263,-0.933,0.138,0.891,-0.454,-1.584,-0.242,-0.019,0.511,0.7,0.71,0.91,1.237,1.591
49,-0.136,-0.619,-0.575,0.11,-0.452,0.318,2.258,0.143,-0.131,-0.353,1.009,0.957,-0.186,0.369,-1.007,-2.992,0.425,-1.558,-0.377,-1.983,0.326,1.593,-0.145,0.173,-0.312,-1.555,-0.614,0.167,-1.28,-0.982,0.367,-0.401,-1.03,2.521,-0.475,-2.232,-0.089,-0.591,0.178,1.047,-0.078,0.713,-0.788,0.928,1.211,-1.006,0.82,2.104,-1.862,0.722
50,0.556,2.337,-0.619,1.75,0.561,-0.957,2.521,0.528,0.259,0.258,1.159,-0.923,0.857,-0.795,3.19,4.438,0.508,0.411,-1.776,2.536,-1.594,-0.551,0.085,0.849,-0.119,1.062,0.364,0.102,-2.902,0.784,-0.588,-1.088,-0.921,-0.116,-0.137,-0.071,-1.886,1.439,1.414,0.184,-0.687,1.53,1.251,0.367,0.037,-0.431,1.082,-1.8,0.451,0.35
51,0.423,0.199,0.604,1.218,1.004,-0.858,1.063,0.532,-1.327,-0.948,2.198,0.935,-0.27,1.097,2.994,0.944,0.883,0.692,0.237,2.06,1.012,0.507,2.224,-0.695,-0.315,0.966,1.757,1.129,0.624,0.245,-1.004,0.895,1.538,1.625,-0.913,-1.351,1.23,1.152,0.006,-0.441,-0.114,-2.251,0.696,1.165,-0.112,-0.618,-0.63,-1.798,1.497,-1.744
52,0.05,-0.673,0.148,-0.771,0.316,0.544,3.09,-0.323,0.121,-0.446,-0.086,-0.297,0.738,-0.488,-1.332,-3.097,0.459,0.215,-0.299,-1.305,-0.283,1.677,0.095,-0.359,-0.21,0.731,-0.492,-1.528,0.626,1.93,-0.583,0.305,0.59,-0.725,-0.685,2.657,-0.937,-2.199,-0.134,0.306,0.213,0.707,1.039,0.566,-0.642,-0.698,-0.553,-0.058,-1.488,1.535
53,-1.586,-1.291,1.358,-0.519,-0.611,0.958,2.114,1.452,1.262,1.169,0.153,-1.47,0.28,0.104,-1.915,-2.339,0.502,-0.336,-0.541,-1.268,0.305,0.181,-0.02,-0.354,-0.14,-0.717,1.139,1.191,-0.417,-0.933,0.622,-1.09,1.888,0.41,-1.625,-0.159,-1.687,0.813,1.547,1.224,0.602,0.013,0.356,-1.445,0.917,0.418,0.898,2.439,-0.196,0.313
54,-0.185,-0.027,2.104,0.754,-0.195,-1.036,1.277,0.081,1.58,-1.016,-0.818,0.687,0.986,1.495,-3.375,-1.448,0.178,0.636,-0.157,-4.573,-0.842,-0.13,-0.981,-0.815,1.59,1.146,0.286,0.287,0.87,2.46,-0.241,-0.332,-0.385,2.202,1.196,0.482,0.326,0.54,0.502,0.944,-0.293,-0.102,0.056,0.184,0.762,-0.557,0.341,4.378,-0.33,0.973
55,0.25,-1.002,-0.239,-0.045,1.008,-0.227,2.432,-0.137,-0.023,1.411,0.943,0.168,-0.606,1.05,0.689,2.957,-1.571,-1.158,-1.585,2.658,-2.021,-1.283,-0.632,1.781,1.374,0.556,0.631,0.756,1.013,-1.807,0.146,-0.729,-0.538,1.461,1.099,-0.329,-1.984,-1.121,0.507,1.226,-0.366,1.132,-1.554,0.299,-0.194,1.024,0.809,-3.472,-1.083,0.47
56,-0.949,-0.204,-2.029,-0.087,1.221,0.763,3.918,0.306,0.286,-0.336,2.137,0.762,-0.447,-1.615,-1.479,-4.215,-0.747,1.583,0.338,-2.079,-0.809,0.538,-0.47,0.36,-1.542,-0.758,-2.961,-0.772,0.814,0.48,0.962,-0.482,-0.481,0.833,2.96,0.302,1.201,-1.611,-0.904,0.123,1.028,0.335,0.374,1.116,-1.043,-0.781,0.475,3.901,-0.102,0.997
57,-1.427,1.11,1.187,-2.198,1.245,0.504,1.317,1.461,-0.183,0.417,0.73,0.983,0.612,-1.121,-0.974,-2.946,-0.049,0.737,1.109,-1.605,0.596,-0.034,-0.205,1.283,-0.658,0.432,0.607,-1.119,-0.579,-0.965,-1.208,-0.353,0.725,0.501,1.46,-1.493,0.826,-0.744,-0.508,-1.507,-0.727,0.865,0.027,1.497,0.925,-0.199,-0.537,0.814,0.831,-1.018
58,0.477,1.261,-0.904,0.206,0.057,1.481,3.088,-1.264,0.727,1.949,0.248,0.497,-1.885,-1.087,-1.473,-3.125,-1.369,0.31,0.461,-0.901,0.119,0.361,2.077,0.606,0.13,-1.873,0.796,1.177,0.355,0.475,-0.985,0.421,-0.036,0.354,-1.107,-1.166,-0.816,1.142,-0.332,-1.006,-0.511,1.149,-1.314,-0.593,0.319,0.458,-0.125,1.981,1.333,-1.203
59,-0.016,-1.693,1.075,0.387,0.511,-0.961,3.21,0.822,1.699,-0.505,0.475,2.56,2.189,-1.153,-0.173,-4.623,0.927,-1.515,0.974,-1.889,-0.554,-1.18,0.476,0.474,0.72,2.628,0.61,-1.301,0.473,-1.495,-1.003,-0.754,0.621,0.508,1.96,-0.083,0.072,-0.115,-0.41,1.457,-1.665,0.201,-0.184,0.644,-0.141,0.464,0.162,1.957,-0.33,0.692
60,0.645,-0.972,0.013,-0.14,-0.265,-1.552,0.433,-0.165,-1.057,0.3,1.844,-1.421,-0.289,-0.618,-2.7,0.103,0.427,-2.605,0.077,-1.657,-2.795,2.678,1.954,-0.515,1.104,-0.227,-0.818,-0.716,1.471,-1.347,1.965,0.273,-0.499,0.831,0.807,1.087,-0.448,-0.603,-1.048,-1.147,0.097,0.756,-0.748,-1.538,-1.196,0.562,1.063,1.911,0.137,-2.08
