batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B017689,563,210,684,286,90,124,72,125,844,753,838,674,146,319,228,962,61,918,770,93,594,735,553,476,915,143,480,881,839,895
B034356,66,269,991,70,230,91,353,154,705,223,440,268,109,937,350,897,962,361,997,945,952,777,78,986,240,581,767,550,477,120
B043719,863,372,934,936,219,194,738,141,132,767,321,136,90,117,194,77,241,748,939,915,555,27,666,433,147,353,168,855,12,564
B034489,467,134,613,325,824,459,755,590,620,404,525,531,700,591,972,212,724,802,832,412,869,585,421,648,781,485,738,753,762,750
B030655,746,864,471,565,460,852,632,445,320,388,912,79,430,26,256,283,792,111,467,513,334,618,55,115,394,311,45,311,834,734
B040929,789,381,461,479,481,540,824,603,499,270,119,574,48,307,133,601,385,554,687,7,83,437,707,250,791,869,249,892,883,126
B002697,389,46,775,870,827,642,370,315,478,833,608,542,163,582,471,262,922,551,398,130,47,760,561,857,295,253,812,254,597,316
B036483,628,908,537,334,421,948,707,143,297,851,459,616,640,11,750,162,242,559,824,55,442,116,38,902,78,134,683,108,632,743
B046415,315,816,30,973,123,106,72,108,681,179,508,857,271,180,642,571,314,884,657,476,796,931,246,919,633,497,426,517,470,832
B016546,124,699,844,911,830,661,611,96,950,371,164,747,244,491,288,485,11,779,891,270,285,38,303,341,494,838,993,965,863,568
B021781,162,92,882,67,295,334,617,506,495,859,605,767,778,360,308,503,91,447,594,11,920,78,999,325,200,294,153,339,82,601
B046048,770,65,359,584,382,960,350,388,932,354,680,310,789,284,180,9,229,178,132,885,338,733,148,193,716,475,237,940,770,246
B010658,504,815,463,993,411,158,391,245,320,131,222,837,796,541,837,46,135,15,837,426,976,191,257,826,295,624,516,36,40,580
B025845,168,41,744,178,796,937,77,309,333,923,57,924,57,174,426,747,808,4,607,64,661,431,676,592,607,290,127,81,149,276
B038107,48,520,268,103,206,260,739,775,570,418,993,642,293,292,292,204,969,240,979,641,878,917,568,654,127,696,86,835,595,641
B034539,103,148,235,523,615,322,136,288,409,536,231,69,236,84,199,635,344,966,623,99,798,135,807,89,799,28,168,680,714,445
B015381,737,522,400,566,875,623,340,377,528,156,990,403,788,603,31,668,783,54,782,734,790,689,82,683,659,902,260,581,173,922
B010109,518,656,303,396,80,589,771,394,970,689,596,329,870,558,501,276,585,263,494,47,604,147,591,657,308,735,702,364,908,920
B040050,305,474,940,156,633,184,529,796,511,543,430,616,419,482,33,270,64,521,786,948,96,448,376,811,250,280,822,634,382,180
B032061,228,355,735,861,107,811,643,802,754,786,935,591,144,258,378,995,432,636,714,120,426,842,535,182,336,334,541,509,281,729
B017872,361,278,536,222,675,209,59,112,157,924,744,285,45,383,45,2,156,286,718,475,465,826,253,937,937,386,185,47,739,291
B031675,336,898,542,522,75,758,970,775,952,560,135,510,387,19,169,839,530,7,299,350,914,438,571,521,991,712,633,147,673,139
B007831,911,562,420,406,730,784,159,148,103,468,205,710,390,652,720,66,269,477,312,913,502,334,265,12,171,144,44,597,26,766
B049579,667,376,877,518,597,992,117,727,377,300,932,901,557,366,668,145,643,788,411,934,104,311,265,747,390,548,18,100,51,294
B020979,256,924,218,148,429,57,228,229,815,233,458,714,169,740,594,395,603,781,675,67,24,166,571,463,864,760,682,309,39,659
B046400,887,649,627,914,475,484,173,303,761,451,196,12,974,317,479,223,564,548,854,716,564,504,209,256,904,433,353,52,564,51
B005951,540,993,259,662,683,490,981,528,594,419,155,544,512,720,215,385,373,4,622,626,418,973,768,940,294,663,567,80,239,443
B010181,793,756,792,693,684,944,306,571,777,576,388,17,268,908,759,221,891,301,930,67,565,243,665,524,709,549,796,444,721,822
B034891,824,226,27,948,729,120,634,46,514,991,633,981,370,158,769,569,200,123,476,151,240,585,591,98,995,979,888,575,788,590
B023410,37,291,275,164,764,964,856,825,100,112,532,429,64,616,988,409,379,93,468,656,642,167,551,976,279,522,567,916,29,436
B017609,317,793,784,311,815,818,517,105,57,911,62,776,630,16,900,256,516,123,858,250,304,841,816,820,9,700,501,761,703,654
B004970,290,950,356,162,784,614,886,616,749,462,579,813,880,274,847,172,713,670,395,595,698,649,377,983,374,231,810,517,996,814
B018135,72,879,687,154,187,173,316,42,536,950,144,896,208,429,411,377,650,617,676,448,454,519,762,898,979,353,744,437,1,871
B025660,432,731,911,204,125,710,745,675,728,515,927,360,714,744,206,471,31,168,114,188,540,743,140,73,229,268,945,742,887,774
B021231,619,10,962,856,954,903,323,710,393,983,249,5,924,351,272,605,435,719,898,246,993,828,542,940,57,23,663,838,950,654
B046013,654,679,645,157,363,583,233,725,417,435,458,743,548,610,611,13,567,294,261,873,164,209,311,619,621,620,834,439,564,804
B010047,198,842,985,822,935,733,674,267,292,163,14,767,646,780,214,608,319,628,196,718,674,874,711,846,540,141,110,589,15,573
B006191,142,489,366,800,121,690,132,853,807,589,750,999,527,889,286,478,715,241,98,454,570,490,749,542,127,65,870,787,987,470
B041871,915,987,669,932,254,958,127,619,75,927,886,111,713,164,444,631,877,90,542,141,925,156,683,920,961,716,761,964,176,744
B011026,99,699,820,446,331,474,203,440,251,82,830,546,966,877,924,933,222,181,126,699,564,934,497,180,843,354,676,565,772,223
B017348,729,655,887,267,506,971,485,526,279,954,551,119,816,585,920,195,837,741,376,32,112,821,338,798,580,899,873,459,981,828
B030787,202,914,635,575,741,993,383,73,141,680,813,680,860,21,768,776,229,593,284,679,326,940,509,660,898,664,536,498,303,175
B035755,637,591,107,503,580,998,469,243,76,706,353,436,711,199,283,159,818,747,198,600,92,371,390,608,278,57,737,755,158,80
B024644,582,402,331,877,775,567,486,179,970,228,340,625,731,566,267,314,399,296,428,225,416,227,230,658,999,65,966,723,170,706
B017665,215,599,400,737,755,130,354,977,133,488,370,538,681,113,745,601,800,646,27,248,986,660,293,281,973,119,199,25,160,966
B041135,609,680,683,358,372,429,252,958,20,613,255,891,469,690,128,477,290,402,52,65,166,742,969,848,954,208,346,814,777,120
B026916,1,298,356,975,553,99,207,233,856,947,292,807,505,162,766,540,257,386,334,446,715,297,414,989,178,816,59,645,133,792
B005343,804,100,132,303,57,612,719,942,677,200,813,107,103,263,810,137,142,225,195,728,77,549,211,536,85,946,502,719,679,493
B022136,245,897,158,982,415,907,473,807,697,989,892,291,520,42,108,675,719,373,315,467,160,603,724,162,488,915,291,317,924,188
B014345,198,364,372,446,78,559,366,283,3,596,161,568,371,252,215,200,163,137,349,716,362,574,282,782,792,907,380,522,386,570
B018816,669,781,129,10,274,812,546,360,398,322,368,633,917,395,315,441,925,679,567,77,559,873,600,740,669,293,831,32,241,663
B028144,844,724,769,249,467,95,54,118,39,496,658,807,921,410,797,769,237,914,288,61,556,395,498,421,991,197,441,896,278,395
B044043,364,494,389,901,370,260,608,321,904,214,863,541,619,877,425,86,513,983,888,580,876,379,658,162,392,919,740,555,200,610
B017223,851,132,589,593,701,664,611,678,894,798,739,742,140,249,182,263,330,826,584,578,555,987,515,497,138,655,341,460,604,636
B040320,68,759,206,600,393,655,966,460,563,199,402,111,423,196,81,124,507,617,83,580,954,37,256,494,65,863,339,31,809,417
B026566,431,603,167,710,446,687,709,74,370,766,828,543,356,710,142,906,292,89,520,872,771,769,940,75,662,256,732,573,611,631
B018719,604,267,375,504,254,709,9,856,607,508,852,239,841,155,395,680,454,613,611,924,766,101,430,184,909,200,891,301,18,617
B039685,15,673,356,968,514,877,711,797,223,804,381,436,751,334,494,896,386,998,39,956,3,656,308,588,453,228,578,414,358,51
B037564,831,939,662,605,188,512,871,779,144,710,535,87,348,32,847,799,842,923,825,175,405,898,516,209,204,65,449,260,435,621
B027225,943,496,964,735,119,283,510,748,219,893,471,248,595,790,554,93,40,854,78,370,626,810,86,538,686,269,668,726,590,490
B028287,400,134,337,983,398,445,610,232,407,233,16,966,134,538,270,677,643,26,67,153,3,830,771,787,282,914,484,99,942,886
B001338,365,560,309,13,322,564,915,116,958,463,457,572,64,286,914,850,806,422,240,857,411,132,32,707,64,724,893,810,816,19
B003930,968,369,191,730,642,505,829,845,578,441,647,849,384,899,702,650,277,319,600,403,726,288,161,770,875,880,467,687,438,945
B026262,848,964,24,830,305,266,368,141,884,211,767,839,44,639,684,839,55,395,212,36,325,95,70,650,401,95,532,861,682,694
B003509,58,975,550,271,256,315,943,864,82,508,179,975,51,878,284,932,233,757,509,847,577,885,31,157,10,556,61,973,42,643
B022736,660,255,61,23,358,231,667,955,895,928,394,413,597,219,788,239,104,354,551,18,769,9,639,660,158,191,137,160,631,165
B004861,872,406,816,848,866,674,357,220,628,352,878,758,832,189,268,253,794,560,921,67,881,105,615,710,409,672,816,470,424,630
B026527,802,576,97,166,349,594,659,878,105,824,669,431,625,946,248,611,656,119,599,393,918,216,895,973,307,483,944,402,604,648
B042937,646,904,434,444,947,969,701,862,498,813,816,502,458,316,871,501,137,738,236,602,120,976,279,982,497,432,505,747,548,488
B025861,359,709,616,213,141,328,128,134,561,259,787,933,135,470,757,903,203,212,818,702,834,522,846,542,635,56,852,56,528,209
B025470,262,501,720,191,401,907,337,238,239,472,803,520,606,656,493,372,439,362,226,768,642,747,491,155,668,932,217,276,822,107
B044113,993,419,206,670,22,153,795,199,97,463,310,53,225,937,683,290,778,474,261,460,408,107,594,800,686,627,253,40,978,378
B041079,434,370,546,565,467,735,441,553,451,478,858,870,358,577,373,807,169,656,580,583,287,231,371,768,867,525,642,232,662,860
B018462,199,556,602,27,809,684,336,862,339,535,483,31,805,295,301,826,399,22,754,749,22,477,105,273,185,755,606,975,751,265
B004922,783,6,164,899,162,381,289,70,457,256,456,697,798,199,689,604,279,970,728,594,67,30,80,15,75,240,372,486,870,745
B030005,253,37,347,758,557,307,738,668,299,747,532,482,376,413,496,627,389,340,323,172,892,359,318,586,896,254,453,731,820,391
B036993,17,978,764,940,556,931,143,822,916,145,273,625,399,592,410,929,666,458,242,882,550,139,390,856,970,769,510,290,929,730
B029048,181,806,984,979,235,924,772,325,861,278,646,825,636,332,804,327,930,1,467,53,318,915,87,286,240,641,531,987,10,517
B015620,337,287,514,669,270,396,791,835,444,929,804,550,923,429,859,657,133,596,116,175,335,681,661,373,222,504,695,600,49,735
B002885,682,84,624,649,505,302,174,242,885,548,152,892,703,206,439,843,570,326,130,64,906,120,590,941,754,17,400,74,851,323
B018379,278,928,181,390,568,245,979,806,919,507,746,521,846,18,267,57,296,334,967,592,18,61,543,710,790,937,109,721,621,437
B049749,699,293,826,172,499,321,712,595,966,157,904,751,823,922,902,254,805,241,551,312,690,480,514,118,713,746,391,381,217,180
B001203,132,569,179,702,35,443,462,212,489,924,374,626,376,142,45,326,293,772,667,189,160,135,541,613,704,356,657,709,449,166
B029113,338,818,803,58,209,162,700,132,155,854,624,420,399,824,709,848,881,53,834,478,222,948,394,718,704,413,101,432,881,887
B013466,579,300,604,106,547,48,453,966,208,632,717,324,946,943,40,930,350,921,910,254,575,54,489,108,525,160,706,421,229,458
B002786,571,604,903,204,504,859,360,106,118,392,923,29,562,389,226,744,445,512,639,633,216,625,299,977,352,436,812,487,105,282
B050338,683,978,226,469,750,32,85,930,535,439,256,345,352,486,54,928,923,488,801,433,770,664,444,25,979,322,99,859,879,213
B037923,151,242,43,817,497,27,516,207,402,823,572,435,771,750,524,65,338,433,165,492,369,126,549,335,180,516,16,225,713,701
B046057,837,488,114,622,8,141,90,475,169,644,646,311,730,981,434,416,312,17,511,555,175,192,513,518,760,626,521,859,624,446
B048682,179,511,268,927,37,431,254,814,477,572,648,381,408,164,745,307,19,61,427,950,353,739,722,511,982,793,385,157,403,628
B036356,454,19,146,391,34,221,134,141,602,408,763,194,77,369,761,480,164,782,168,115,468,471,568,139,299,426,227,400,822,386
B029466,124,238,889,407,163,544,962,309,876,493,152,827,674,411,702,380,634,693,891,284,913,785,18,110,328,607,880,408,482,424
B023011,93,342,256,562,383,356,533,23,465,340,925,527,524,617,550,397,564,396,85,659,564,479,884,532,934,710,665,367,15,89
B027905,469,506,504,251,675,546,275,737,109,390,559,779,904,581,138,19,252,587,200,482,339,239,7,703,851,361,381,964,850,495
B034903,688,361,222,688,502,17,366,46,769,2,20,797,48,447,225,901,536,906,389,772,137,396,318,822,230,636,643,507,385,577
B031544,211,102,856,790,983,115,731,66,740,227,495,960,798,504,116,513,96,689,182,90,275,977,150,975,540,483,437,769,491,23
B045515,766,414,340,752,160,62,447,92,428,439,236,57,789,335,354,407,825,557,511,548,223,845,57,663,832,190,834,404,32,336
B020283,999,731,714,461,291,618,449,690,871,951,208,898,592,954,691,591,722,893,816,904,882,637,497,376,489,669,599,251,184,422
B035352,418,844,151,52,538,824,954,993,604,464,632,685,580,380,885,294,871,943,107,95,845,28,456,275,686,253,837,588,507,316
B028963,142,104,248,402,122,634,565,160,707,594,73,88,900,841,966,745,759,488,365,252,396,573,834,39,917,203,355,53,148,836
B027406,432,265,60,482,254,530,438,58,603,290,112,978,794,25,384,73,165,190,681,702,307,949,42,882,935,691,758,809,382,526
B011227,272,648,217,287,878,342,714,675,717,5,760,227,396,564,995,374,444,234,20,495,136,760,183,268,249,677,99,757,385,436
B035945,78,978,182,112,88,901,116,990,792,629,129,191,343,195,384,300,806,647,847,395,179,757,719,932,732,475,650,396,255,143
B042494,647,484,363,878,418,741,599,989,482,276,155,99,807,828,931,391,237,164,832,867,584,959,544,713,522,701,982,118,122,858
B022693,940,968,868,928,89,587,92,982,387,500,842,630,153,989,793,803,68,29,353,256,716,992,795,324,637,667,226,206,568,696
B046418,671,920,635,675,573,646,513,591,82,655,115,265,471,502,808,633,732,846,342,383,221,331,179,918,582,473,687,626,795,671
B005214,777,588,246,730,522,372,237,93,322,750,424,316,473,508,91,204,645,230,698,982,44,719,463,123,18,161,37,831,644,200
B046592,514,823,340,311,92,547,309,329,611,440,221,875,242,121,278,961,729,975,107,529,836,387,338,763,95,11,220,772,884,552
B037127,866,536,245,142,399,849,419,69,765,597,61,359,947,242,846,601,363,502,434,201,267,706,164,154,517,782,281,257,812,899
B032686,770,139,686,669,898,788,391,87,553,95,342,712,462,802,29,973,444,997,91,21,431,186,385,753,494,509,649,110,542,677
B021561,193,888,782,126,235,383,698,386,631,922,543,371,801,951,608,686,733,518,805,970,693,378,790,891,584,62,749,475,244,334
B047544,691,161,582,497,53,274,708,794,848,613,821,886,654,958,265,136,775,442,830,323,925,930,575,288,284,948,334,655,264,887
B004717,577,342,965,600,62,721,149,442,642,20,148,457,466,548,277,824,33,910,809,101,929,14,608,626,659,744,889,89,977,427
B008422,928,802,803,354,121,717,686,487,698,297,626,205,25,388,435,445,506,893,70,54,349,574,951,995,579,44,837,485,649,752
B050263,469,67,943,532,782,818,683,802,579,419,683,94,485,238,287,800,84,512,669,733,385,728,409,766,101,653,82,168,596,804
B044622,531,11,555,793,793,163,887,568,820,984,527,15,772,791,277,767,300,784,224,993,735,459,122,70,317,228,261,310,425,108
B043490,582,34,212,601,689,718,269,868,931,140,928,594,878,483,203,517,971,443,481,774,687,169,406,883,217,5,554,21,110,838
B016103,641,366,169,525,233,929,146,277,435,792,74,466,789,261,452,632,596,120,212,206,419,59,817,233,55,203,189,293,193,526
B027416,949,483,540,546,797,225,538,474,587,855,686,994,414,185,250,694,97,208,249,581,752,170,875,970,801,99,754,781,517,447
B029603,817,830,840,492,39,853,554,645,833,95,466,263,184,748,447,525,69,762,518,516,811,674,435,563,125,558,536,515,678,781
B035130,53,71,520,864,769,909,579,879,65,668,408,959,682,441,707,208,672,706,863,815,534,185,398,580,93,972,369,162,221,485
B027016,149,58,870,184,6,769,28,699,68,993,771,732,533,939,325,474,53,656,498,490,69,342,332,266,339,691,909,508,447,588
B003038,703,387,829,760,824,777,178,758,598,831,50,874,32,610,620,446,122,861,153,872,305,707,863,854,581,516,460,39,28,169
B002055,57,586,865,618,951,793,351,297,905,573,352,453,416,534,272,742,186,651,515,673,653,720,693,889,503,84,411,378,107,113
B028103,844,934,378,872,658,941,143,10,517,746,70,391,806,46,264,40,759,454,584,165,284,815,674,440,109,165,590,973,609,992
B012062,757,482,642,425,650,941,9,375,684,686,668,578,395,682,592,393,267,945,87,28,539,992,52,716,734,773,109,779,369,151
B012244,269,152,436,475,78,399,799,736,784,470,84,291,761,470,474,540,848,102,904,355,408,709,379,179,135,133,550,754,662,868
B016261,253,380,763,656,336,787,718,904,487,131,943,83,681,885,618,337,541,474,486,376,543,318,193,600,372,748,774,840,243,398
B043044,284,329,347,694,245,233,570,520,190,603,827,101,213,274,765,96,491,463,385,903,595,62,420,152,552,8,389,467,68,23
B001021,844,760,555,656,197,527,246,333,595,443,674,486,653,462,755,858,787,70,261,245,504,5,254,351,929,28,50,473,781,241
B043882,606,101,209,516,956,34,83,301,184,364,554,456,732,388,392,9,17,528,132,977,789,353,228,630,893,920,615,310,382,950
B021963,534,308,681,239,468,415,331,655,495,415,696,492,771,44,746,739,390,236,20,764,376,507,243,540,414,913,200,795,513,359
B047573,6,489,737,689,499,819,609,512,472,260,424,866,725,956,605,746,933,157,776,336,133,967,516,212,752,369,149,559,424,996
B011626,944,43,315,175,91,562,914,370,157,547,690,25,39,851,397,520,846,363,495,873,652,244,385,950,858,90,778,888,738,59
B044024,802,909,314,367,836,283,338,444,113,640,332,73,184,274,901,546,27,927,468,650,285,434,910,239,298,122,938,217,42,713
B002462,980,685,622,16,267,755,306,232,198,472,601,897,119,616,243,339,645,563,144,332,839,348,319,742,437,859,50,36,11,453
B038093,544,867,16,648,324,721,467,218,866,986,416,919,231,433,125,186,304,644,536,637,671,497,674,735,904,826,168,768,794,736
B030830,63,989,605,679,621,368,719,37,402,897,141,528,745,556,213,547,177,502,287,726,874,998,516,935,295,473,494,927,543,152
B039929,656,187,676,163,24,398,247,980,997,933,242,375,741,995,201,23,873,404,151,406,942,872,3,663,490,422,400,379,861,476
B024934,730,278,81,208,343,43,747,447,96,18,646,457,675,439,482,17,661,311,207,832,169,694,745,481,381,895,663,289,585,563
B004773,227,201,571,694,269,147,80,412,393,948,202,5,688,79,852,987,267,375,12,468,589,172,870,835,761,769,695,713,364,956
B022400,471,307,902,59,656,586,472,939,936,603,868,247,348,994,391,327,641,33,334,959,292,868,203,792,502,298,60,894,483,408
B029651,710,727,274,780,287,135,651,876,192,284,442,728,916,881,682,784,194,105,113,412,449,852,700,672,955,662,922,493,404,614
B037671,619,864,262,711,736,21,678,188,560,284,891,182,690,851,452,650,725,735,884,384,830,414,290,100,814,158,635,877,380,344
B004302,513,69,384,828,154,254,860,174,97,758,53,953,437,178,389,25,579,116,243,296,85,505,297,939,30,743,216,119,190,529
B041173,108,244,329,889,887,35,197,503,406,949,75,808,985,924,0,943,416,573,313,619,689,429,131,260,64,760,270,630,386,544
B026956,231,551,127,467,422,55,247,816,228,921,324,216,837,628,806,714,60,291,587,277,170,213,299,33,438,649,112,109,589,460
B045479,415,729,27,733,535,58,554,84,853,297,206,470,919,42,813,244,16,210,583,170,173,671,36,27,847,266,247,779,205,267
B013302,961,356,391,291,888,932,624,667,539,927,549,140,503,148,278,998,598,835,29,375,676,66,198,290,16,197,510,121,910,963
B046510,413,331,774,938,540,440,701,93,783,790,234,240,848,447,861,442,996,26,854,291,905,327,307,560,759,898,238,489,916,61
B008566,497,911,108,859,232,491,158,977,238,505,449,103,682,676,789,698,489,295,617,961,792,641,493,10,356,672,218,156,143,446
B008766,712,803,764,768,526,736,728,76,760,852,967,217,69,122,731,984,813,623,745,219,392,864,753,491,388,192,855,590,740,83
B029685,898,84,306,630,929,43,945,532,232,947,203,908,78,562,751,329,835,333,73,836,868,209,727,941,217,325,960,794,476,380
B047389,394,628,123,130,50,105,601,698,840,223,465,397,330,694,905,121,606,399,721,792,739,317,337,601,734,651,515,405,867,641
B023424,718,653,564,469,807,795,355,625,334,780,258,377,14,476,268,332,861,203,464,171,408,771,69,241,316,433,143,995,314,71
B034896,27,281,35,648,54,831,740,434,697,554,849,376,651,4,749,994,333,203,350,333,343,188,944,323,68,880,746,391,686,637
B034062,704,227,5,355,803,65,430,286,359,990,508,185,922,124,288,32,537,424,39,817,626,619,907,398,436,613,825,108,181,436
B016334,605,793,766,347,882,455,47,845,365,24,568,977,467,791,346,95,52,107,513,561,471,351,66,620,899,545,97,16,510,82
B031205,531,416,384,36,331,254,206,286,445,344,587,822,325,638,436,731,198,851,740,405,260,444,103,53,630,592,399,383,502,151
B007020,13,788,127,769,136,322,179,944,587,737,554,303,423,557,734,708,203,315,144,607,41,547,189,520,378,523,813,632,41,556
B002976,22,605,407,613,858,677,819,946,168,940,930,939,454,638,298,79,449,417,30,801,768,773,458,301,985,623,420,55,866,194
B035722,183,201,461,107,977,802,659,397,748,9,589,942,793,46,399,532,639,58,18,840,557,25,848,282,611,202,607,675,893,262
B042213,247,992,687,967,671,382,25,864,862,335,739,190,561,519,428,59,603,763,966,604,258,763,523,267,956,949,140,984,619,607
B016337,600,79,427,91,287,99,977,35,370,493,483,438,964,242,343,607,626,193,304,603,882,266,657,89,930,592,762,170,237,393
B044073,808,193,560,893,167,953,245,806,628,815,541,740,894,117,6,906,210,11,585,665,450,162,573,730,625,959,583,18,689,986
B039534,456,558,942,12,672,88,716,937,417,607,190,56,730,6,49,208,697,158,842,577,745,86,620,893,668,220,203,988,35,63
B021975,317,484,246,126,438,314,622,624,510,898,314,145,42,759,591,204,926,74,875,150,660,852,660,986,351,718,996,557,959,962
B017140,757,412,432,531,478,564,409,952,280,165,901,953,987,295,446,699,254,776,985,353,851,537,953,45,105,161,769,134,477,333
B043526,785,119,845,369,322,713,732,284,733,94,714,884,989,154,632,57,854,373,806,173,681,202,880,34,660,344,34,927,495,830
B005003,674,445,663,200,285,910,271,87,709,385,861,449,869,949,130,264,478,874,102,448,324,823,59,515,724,560,297,703,985,708
B029410,75,835,262,484,828,679,749,0,401,742,428,569,483,286,781,940,422,664,444,857,922,813,18,785,929,425,421,347,414,507
B001587,920,944,275,709,986,407,710,397,214,966,598,242,551,681,911,435,421,803,8,92,866,731,786,163,259,37,951,932,232,848
B037535,542,294,468,818,836,816,319,511,659,528,612,752,323,234,806,830,377,883,943,19,696,309,498,865,219,453,975,715,600,392
B026159,910,285,142,225,421,781,103,288,799,685,517,390,14,40,643,249,906,992,152,796,9,707,906,882,81,59,758,276,684,63
B042823,417,865,357,943,81,812,66,854,932,717,979,689,141,715,870,99,886,972,732,49,743,583,618,161,906,151,888,307,64,411
B036071,451,731,429,196,438,130,691,256,598,854,199,127,586,962,695,8,168,568,909,374,842,709,932,823,235,737,2,308,609,250
B049800,442,334,754,969,505,211,825,588,50,107,171,916,640,70,876,87,31,999,746,343,992,303,173,594,115,742,76,209,110,4
B030488,946,294,542,287,692,388,318,145,876,833,471,76,14,888,615,341,417,864,80,863,973,851,167,486,624,12,71,535,557,788
B021073,991,754,202,134,864,164,611,326,831,654,831,734,207,377,331,976,594,272,363,907,873,261,668,530,407,243,72,622,963,163
B023977,47,158,237,79,476,96,446,855,857,327,752,339,169,23,103,422,882,948,500,971,795,519,610,872,736,324,160,27,862,128
B033179,156,798,510,977,50,533,286,515,75,635,424,365,796,453,779,434,418,553,443,252,842,1,269,371,668,472,515,2,686,124
B006089,787,24,205,474,388,522,412,114,826,414,883,507,590,705,818,998,335,137,544,129,491,947,900,345,765,866,181,125,564,432
B023889,611,27,865,889,963,68,265,535,39,310,334,702,546,892,563,184,603,290,132,616,891,747,843,59,619,49,38,613,74,802
B001005,966,351,341,879,539,754,545,562,756,615,261,815,215,868,629,17,89,284,754,900,424,207,85,684,470,68,771,572,953,109
B026154,969,120,190,200,647,883,190,179,393,278,583,863,881,86,393,716,580,977,429,694,146,812,89,514,234,170,990,414,966,637
B031929,150,151,325,907,662,459,165,227,853,442,846,507,159,540,213,834,426,924,915,905,863,856,365,411,582,582,816,855,751,993
B016270,602,279,595,803,442,601,999,535,787,262,454,747,487,711,719,312,18,157,401,376,876,341,110,729,494,353,37,872,901,189
B049040,787,680,478,37,789,792,433,765,872,357,788,120,365,43,793,250,400,966,425,228,565,665,899,581,794,516,186,979,954,215
B036246,137,209,436,650,667,697,388,943,970,43,864,899,15,222,229,955,932,555,123,979,706,172,583,213,123,142,310,122,705,856
B004406,315,178,906,590,850,500,444,738,51,814,859,216,304,349,821,307,25,893,155,527,356,890,965,795,323,546,542,222,617,61
B036412,909,191,638,824,763,403,849,966,105,1,264,295,298,531,449,943,444,617,282,257,630,727,309,647,512,831,193,897,35,335
B029761,995,234,993,163,989,160,292,880,711,877,606,115,137,673,511,807,641,98,391,706,625,804,72,820,489,243,312,455,834,836
B017716,58,453,891,698,193,32,87,904,522,692,51,525,213,138,757,562,77,240,280,870,924,557,216,158,12,653,608,441,467,602
B043199,988,733,592,809,273,395,782,430,884,60,568,942,244,474,110,501,615,644,780,423,944,435,374,105,493,755,740,0,60,363
B032575,333,483,445,490,20,27,986,128,863,772,571,40,309,946,849,634,638,851,404,105,288,374,542,103,147,730,757,966,64,890
B005861,904,899,567,237,888,896,889,66,691,924,407,261,84,169,978,961,130,424,368,46,234,613,991,495,397,201,527,190,169,803
B030573,716,368,156,880,949,179,627,974,146,600,888,334,45,662,464,267,783,79,728,823,378,471,264,525,166,552,356,912,673,282
